"Part";"Value";"Device";"Package";"Description";"";
"BAT";"";"W237-02P";"W237-132";"WAGO SREW CLAMP";"";
"C1";"";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C2";"";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C3";"";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C4";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C5";"100pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C6";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C7";"";"CPOL-EUE10-30";"EB30D";"POLARIZED CAPACITOR, European symbol";"";
"C8";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C9";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"";"SUPPRESSOR-SMBG";"SMBG";"Suppressor diode";"";
"D2";"IN_LED";"LED5MM";"LED_5MM";"LED (Generic)";"";
"D3";"";"SUPPRESSOR-SMBG";"SMBG";"Suppressor diode";"";
"D4";"+5V LED";"LED5MM";"LED_5MM";"LED (Generic)";"";
"DATA";"22-27-2041-04";"22-27-2041-04";"6410-04";"CONNECTOR";"";
"GT_DRIVER";"HCPL-3120-300E";"HCPL-3120-300E";"HCPL-3120-GULL-WING";"Logic Output Optocouplers 2.0A IGBT Gate Drive";"";
"IC2";"DIODE";"LM1117TO252";"TO252";"";"";
"IC4";"7805";"78XXS";"78XXS";"VOLTAGE REGULATOR";"";
"IGBT";"FGA25N120ANTDTU";"FGA25N120ANTDTU";"TO545P500X1560X2420-3P";"IGBT N-Ch 1200V 50A NPT Trench TO3PN Fairchild FGA25N120ANTDTU, 50 A 1200 V, 1MHz, 3-Pin TO-3P";"";
"JP1";"+5V";"PINHD-1X4";"1X04";"PIN HEADER";"";
"M2";"";"PINHD-1X6";"1X06";"PIN HEADER";"";
"M3";"";"PINHD-1X6";"1X06";"PIN HEADER";"";
"MOT2";"";"W237-02P";"W237-132";"WAGO SREW CLAMP";"";
"MOT3";"";"W237-02P";"W237-132";"WAGO SREW CLAMP";"";
"NMOS";"BSC520N15NS3_G";"BSC520N15NS3_G";"PG-TDSON-8";"MOSFET N-Ch 150V 21A TDSON-8 OptiMOS 3";"";
"OPAMP";"MCP601P";"MCP601P";"DIL08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";
"R1";"2.49K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R2";"10K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R3";"10K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R4";"60.4K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R5";"43K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R6";"8m";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R7";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R8";"1.5K";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R9";"1K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R10";"100E";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R11";"100E";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R12";"1K";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"SOLENOID";"";"W237-02P";"W237-132";"WAGO SREW CLAMP";"";
"SWITCH";"";"320-938";"320-938";"TOGGLE SWITCH";"";
"T1";"DA2032-ALD";"DA2032-ALD";"SOP250P2197X889-12N";"COILCRAFT - DA2032-ALD - TRANSFORMER, FLYBACK, LT3750, SMD";"";
"U$1";"XT60";"XT60";"XT60";"XT60";"";
"U1";"LT3750EMSPBF";"LT3750EMSPBF";"SOP50P490X110-10N";"Capacitor Charger Controller";"";
